time,latitude,longitude,satellites_used
2018-06-11_12:07:39.4,60.10348942,19.9294189,3
2018-06-11_12:07:40.5,60.10348942,19.9294189,3
2018-06-11_12:07:41.5,60.10370002,19.92947386,3
2018-06-11_12:07:42.5,60.10359408,19.92950321,3
2018-06-11_12:07:54.5,60.10351694,19.9293006,3
2018-06-11_12:07:55.6,60.10374015,19.92932788,3
2018-06-11_12:07:56.6,60.10348677,19.92943581,3
2018-06-11_12:07:57.6,60.10348677,19.92943581,3
2018-06-11_12:07:58.6,60.10340387,19.92934685,3
2018-06-11_12:07:59.6,60.10341502,19.92940981,3
2018-06-11_12:08:00.6,60.10337352,19.92945903,3
2018-06-11_12:08:01.6,60.10337352,19.92945903,3
2018-06-11_12:08:02.6,60.10342681,19.92941594,3
2018-06-11_12:08:03.6,60.10336639,19.92947593,3
2018-06-11_12:08:04.6,60.10336639,19.92947593,3
2018-06-11_12:08:05.6,60.10322808,19.92957753,3
2018-06-11_12:08:06.6,60.10321364,19.9295883,3
2018-06-11_12:08:07.6,60.10321364,19.9295883,3
2018-06-11_12:08:08.6,60.10347297,19.92938975,3
2018-06-11_12:08:09.7,60.10347297,19.92938975,3
2018-06-11_12:08:10.7,60.10346566,19.92938362,3
2018-06-11_12:08:11.7,60.10332288,19.92948522,3
2018-06-11_12:08:12.7,60.10328403,19.92951754,3
2018-06-11_12:08:13.7,60.10328403,19.92951754,3
2018-06-11_12:08:14.7,60.10339792,19.92943749,3
2018-06-11_12:08:15.7,60.10345121,19.92939439,3
2018-06-11_12:08:16.7,60.10345121,19.92939439,3
2018-06-11_12:08:17.7,60.10352891,19.92932976,3
2018-06-11_12:08:18.7,60.10351447,19.92934053,3
2018-06-11_12:08:19.7,60.10351447,19.92934053,3
2018-06-11_12:08:20.7,60.10333284,19.92947445,3
2018-06-11_12:08:21.7,60.10330844,19.92949599,3
2018-06-11_12:08:22.7,60.10330844,19.92949599,3
2018-06-11_12:08:23.8,60.10324783,19.92953296,3
2018-06-11_12:08:24.8,60.1032578,19.92952219,3
2018-06-11_12:08:25.8,60.1032578,19.92952219,3
2018-06-11_12:08:26.8,60.10330844,19.92949599,3
2018-06-11_12:08:27.8,60.10332288,19.92948522,3
2018-06-11_12:08:28.8,60.10332288,19.92948522,3
2018-06-11_12:08:29.8,60.10343943,19.92938827,3
2018-06-11_12:08:30.8,60.1034077,19.92940368,3
2018-06-11_12:08:31.8,60.1034077,19.92940368,3
2018-06-11_12:08:32.8,60.10346831,19.92936672,3
2018-06-11_12:08:33.8,60.10332553,19.92946832,3
2018-06-11_12:08:34.8,60.10332553,19.92946832,3
2018-06-11_12:08:35.8,60.1035216,19.92932363,3
2018-06-11_12:08:36.8,60.10356045,19.92929131,3
2018-06-11_12:08:37.8,60.10356045,19.92929131,3
2018-06-11_12:08:38.9,60.10333997,19.92945755,3
2018-06-11_12:08:39.9,60.10333997,19.92945755,3
2018-06-11_12:08:40.9,60.1034854,19.92933905,3
2018-06-11_12:08:41.9,60.10341767,19.92939291,3
2018-06-11_12:08:42.9,60.10342946,19.92939904,3
2018-06-11_12:08:43.9,60.10342946,19.92939904,3
2018-06-11_12:08:44.9,60.10337617,19.92944213,3
2018-06-11_12:08:45.9,60.10334994,19.92944678,3
2018-06-11_12:08:46.9,60.10334994,19.92944678,3
2018-06-11_12:08:47.9,60.1034077,19.92940368,3
2018-06-11_12:08:48.9,60.1034077,19.92940368,3
2018-06-11_12:08:49.9,60.1034077,19.92940368,3
2018-06-11_12:08:50.9,60.10343211,19.92938214,3
2018-06-11_12:08:51.9,60.1034248,19.92937601,3
2018-06-11_12:08:52.10,60.1034248,19.92937601,3
2018-06-11_12:08:53.10,60.10336438,19.929436,3
2018-06-11_12:08:54.10,60.10343211,19.92938214,3
2018-06-11_12:08:55.10,60.10343211,19.92938214,3
2018-06-11_12:08:56.10,60.10351428,19.9293175,3
2018-06-11_12:08:57.10,60.10354866,19.92928518,3
2018-06-11_12:08:58.10,60.10354866,19.92928518,3
2018-06-11_12:08:59.10,60.10360195,19.92924209,3
2018-06-11_12:09:00.10,60.10344208,19.92937137,3
2018-06-11_12:09:01.10,60.10344208,19.92937137,3
2018-06-11_12:09:02.10,60.10355313,19.92928518,3
2018-06-11_12:09:03.10,60.10349984,19.92932827,3
2018-06-11_12:09:04.10,60.10349984,19.92932827,3
2018-06-11_12:09:05.10,60.10338147,19.92940833,3
2018-06-11_12:09:06.10,60.10346364,19.92934369,3
2018-06-11_12:09:07.11,60.10346364,19.92934369,3
2018-06-11_12:09:08.11,60.10337882,19.92942523,3
2018-06-11_12:09:09.11,60.10340323,19.92940368,3
2018-06-11_12:09:10.11,60.10340323,19.92940368,3
2018-06-11_12:09:11.11,60.10336438,19.929436,3
2018-06-11_12:09:12.11,60.10347096,19.92934982,3
2018-06-11_12:09:13.11,60.10347096,19.92934982,3
2018-06-11_12:09:14.11,60.10338147,19.92940833,3
2018-06-11_12:09:15.11,60.10341767,19.92939291,3
2018-06-11_12:09:16.11,60.10341767,19.92939291,3
2018-06-11_12:09:17.11,60.10328933,19.92948374,3
2018-06-11_12:09:18.11,60.10341035,19.92938678,3
2018-06-11_12:09:19.11,60.10341035,19.92938678,3
2018-06-11_12:09:20.11,60.10342032,19.92937601,3
2018-06-11_12:09:21.12,60.10359464,19.92923596,3
2018-06-11_12:09:22.12,60.10359464,19.92923596,3
2018-06-11_12:09:23.12,60.10344189,19.92934834,3
2018-06-11_12:09:24.12,60.10346364,19.92934369,3
2018-06-11_12:09:25.12,60.10346364,19.92934369,3
2018-06-11_12:09:26.12,60.10346364,19.92934369,3
2018-06-11_12:09:27.12,60.1034492,19.92935446,3
2018-06-11_12:09:28.12,60.1034492,19.92935446,3
2018-06-11_12:09:29.12,60.1035269,19.92928983,3
2018-06-11_12:09:30.12,60.1035025,19.92931137,3
2018-06-11_12:09:31.12,60.1035025,19.92931137,3
2018-06-11_12:09:32.12,60.10359464,19.92923596,3
2018-06-11_12:09:33.12,60.10353403,19.92927293,3
2018-06-11_12:09:34.13,60.10353403,19.92927293,3
2018-06-11_12:09:35.13,60.10355579,19.92926828,3
2018-06-11_12:09:36.13,60.10355579,19.92926828,3
2018-06-11_12:09:37.13,60.10354134,19.92927905,3
2018-06-11_12:09:38.13,60.10351959,19.9292837,3
2018-06-11_12:09:39.13,60.10355844,19.92925138,3
2018-06-11_12:09:40.13,60.10355844,19.92925138,3
2018-06-11_12:09:41.13,60.10363614,19.92918674,3
2018-06-11_12:09:42.13,60.10350515,19.92929447,3
2018-06-11_12:09:43.13,60.10350515,19.92929447,3
2018-06-11_12:09:44.13,60.10339856,19.92938066,3
2018-06-11_12:09:45.13,60.10342745,19.92935911,3
2018-06-11_12:09:46.13,60.10342745,19.92935911,3
2018-06-11_12:09:47.13,60.10337416,19.9294022,3
2018-06-11_12:09:48.14,60.10325313,19.92949916,3
2018-06-11_12:09:49.14,60.10325313,19.92949916,3
2018-06-11_12:09:50.14,60.10352956,19.92927293,3
2018-06-11_12:09:51.14,60.10357288,19.92924061,3
2018-06-11_12:09:52.14,60.10357288,19.92924061,3
2018-06-11_12:09:53.14,60.10328202,19.92947761,3
2018-06-11_12:09:54.14,60.10328202,19.92947761,3
2018-06-11_12:09:55.14,60.10341301,19.92936988,3
2018-06-11_12:09:56.14,60.10341301,19.92936988,3
2018-06-11_12:09:57.14,60.10332087,19.92944529,3
2018-06-11_12:09:58.14,60.10332087,19.92944529,3
2018-06-11_12:09:59.14,60.10351959,19.9292837,3
2018-06-11_12:10:00.14,60.10347626,19.92931602,3
2018-06-11_12:10:01.15,60.10347626,19.92931602,3
2018-06-11_12:10:02.15,60.10353403,19.92927293,3
2018-06-11_12:10:03.15,60.10345186,19.92933756,3
2018-06-11_12:10:04.15,60.10345186,19.92933756,3
2018-06-11_12:10:05.15,60.10344189,19.92934834,3
2018-06-11_12:10:06.15,60.10357288,19.92924061,3
2018-06-11_12:10:07.15,60.10357288,19.92924061,3
2018-06-11_12:10:08.16,60.10338412,19.92939143,3
2018-06-11_12:10:09.16,60.10341301,19.92936988,3
2018-06-11_12:10:10.16,60.10341301,19.92936988,3
2018-06-11_12:10:11.16,60.10341301,19.92936988,3
2018-06-11_12:10:12.16,60.10337416,19.9294022,3
2018-06-11_12:10:13.16,60.10337416,19.9294022,3
2018-06-11_12:10:14.16,60.10329646,19.92946684,3
2018-06-11_12:10:15.16,60.10341301,19.92936988,3
2018-06-11_12:10:16.16,60.10341301,19.92936988,3
2018-06-11_12:10:17.16,60.10335972,19.92941297,3
2018-06-11_12:10:18.16,60.10341301,19.92936988,3
2018-06-11_12:10:19.16,60.10341301,19.92936988,3
2018-06-11_12:10:20.16,60.10330642,19.92945607,3
2018-06-11_12:10:21.16,60.10348074,19.92931602,3
2018-06-11_12:10:22.16,60.10348074,19.92931602,3
2018-06-11_12:10:23.17,60.10335972,19.92941297,3
2018-06-11_12:10:24.17,60.10345917,19.92934369,3
2018-06-11_12:10:25.17,60.10345917,19.92934369,3
2018-06-11_12:10:26.17,60.10348805,19.92932215,3
2018-06-11_12:10:27.17,60.10345186,19.92933756,3
2018-06-11_12:10:28.17,60.10345186,19.92933756,3
2018-06-11_12:10:29.17,60.1034663,19.92932679,3
2018-06-11_12:10:30.17,60.10356575,19.92925751,3
2018-06-11_12:10:31.17,60.10356575,19.92925751,3
2018-06-11_12:10:32.17,60.10346364,19.92934369,3
2018-06-11_12:10:33.17,60.10334527,19.92942375,3
2018-06-11_12:10:34.17,60.10334527,19.92942375,3
2018-06-11_12:10:35.17,60.10334527,19.92942375,3
2018-06-11_12:10:36.17,60.10338284,19.92950509,3
2018-06-11_12:10:37.18,60.10338284,19.92950509,3
2018-06-11_12:10:38.18,60.10336301,19.92933924,3
2018-06-11_12:10:39.18,60.10354335,19.92931898,3
2018-06-11_12:10:40.18,60.10354335,19.92931898,3
2018-06-11_12:10:41.18,60.10348412,19.92945271,3
2018-06-11_12:10:42.18,60.1034854,19.92933905,3
2018-06-11_12:10:43.18,60.1034854,19.92933905,3
2018-06-11_12:10:44.18,60.10328531,19.92940388,3
2018-06-11_12:10:45.18,60.10337352,19.92945903,3
2018-06-11_12:10:46.18,60.10337352,19.92945903,3
